 
FileName        : ExpData.txt								
Author          : VJ
Last Updated    : 210119
Competible with :expcvm.05								
Format:-----------------------------------------------------------									
DataId	DataType	       y      yMod   sig(Y)  	Wt.    	x      	x1     	x2     	References

#************************START#
//SOLIDUS(ROG)
//68      CXXB-A2-T-1-A3-TO-1	0.993	0.993	0.005	0	893	0.8523   0.993	72FLE-critical point



#************************STOP#

//71      Hm-A2-T-1               35000   0       300     1       0.5     1243    0       maid
//72      Hm-A3-TO-1              54000   0       300     1       0.6     883     0       maid

//BETA/(ALPHA + BETA) LOWER THAN INVARIANT REACT.
71	CXXA-A2-T-1-A3-TO-1	0.1	0.1	0.01	1	873	0.1	0.99	72FLE
//72	CXXA-A2-T-1-A3-TO-2	0.05	0.05	0.01	0	723	0.01	0.999	72FLE
71	CXXA-A2-T-1-A3-TO-1	0.025	0.1	0.01	0	890	0.02	0.99	72FLE
71	CXXA-A2-T-1-A3-TO-1	0.022	0.1	0.01	0	885	0.02	0.99	72FLE
71	CXXA-A2-T-1-A3-TO-1	0.02	0.1	0.01	0	880	0.02	0.99	72FLE
71	CXXA-A2-T-1-A3-TO-1	0.018	0.1	0.01	0	875	0.02	0.99	72FLE
71	CXXA-A2-T-1-A3-TO-1	0.015	0.1	0.01	0	870	0.02	0.99	72FLE
71	CXXA-A2-T-1-A3-TO-1	0.011	0.1	0.01	0	865	0.02	0.99	72FLE
71	CXXA-A2-T-1-A3-TO-1	0.010	0.1	0.01	0	860	0.01	0.99	72FLE
71	CXXA-A2-T-1-A3-TO-1	0.009	0.1	0.01	0	855	0.01	0.99	72FLE
//71	CXXA-A2-T-1-A3-TO-1	0.008	0.1	0.01	0	850	0.01	0.99	72FLE
71	CXXA-A2-T-1-A3-TO-1	0.007	0.1	0.01	0	845	0.01	0.99	72FLE
71	CXXA-A2-T-1-A3-TO-1	0.006	0.1	0.01	0	840	0.006	0.99	72FLE
//71	CXXA-A2-T-1-A3-TO-1	0.005	0.1	0.01	0	835	0.005	0.99	72FLE
//71	CXXA-A2-T-1-A3-TO-1	0.002	0.1	0.01	0	830	0.002	0.99	72FLE
//71	CXXA-A2-T-1-A3-TO-1	0.003	0.1	0.01	0	825	0.003	0.99	72FLE
//71	CXXA-A2-T-1-A3-TO-1	0.002	0.1	0.01	0	820	0.002	0.99	72FLE
//71	CXXA-A2-T-1-A3-TO-1	0.001	0.1	0.01	0	815	0.001	0.999	72FLE
71	CXXA-A2-T-1-A3-TO-1	0.0009	0.1	0.01	0	810	0.0009	0.99	72FLE
71	CXXA-A2-T-1-A3-TO-1	0.0008	0.1	0.01	0	805	0.0008	0.99	72FLE
71	CXXA-A2-T-1-A3-TO-1	0.0007	0.1	0.01	0	800	0.0007	0.99	72FLE
//71	CXXA-A2-T-1-A3-TO-1	0.0006	0.1	0.01	0	795	0.0006	0.99	72FLE
//71	CXXA-A2-T-1-A3-TO-1	0.0005	0.1	0.01	0	790	0.0005	0.999	72FLE
//71	CXXA-A2-T-1-A3-TO-1	0.0004	0.1	0.01	0	785	0.0004	0.99	72FLE
//71	CXXA-A2-T-1-A3-TO-1	0.0003	0.1	0.01	0	780	0.0003	0.99	72FLE
//71	CXXA-A2-T-1-A3-TO-1	0.0002	0.1	0.01	0	775	0.0002	0.99	72FLE
//71	CXXA-A2-T-1-A3-TO-1	0.0001	0.1	0.01	0	770	0.0001	0.99	72FLE
//71	CXXA-A2-T-1-A3-TO-1	0.00009	0.1	0.01	0	765	0.00009	0.99	72FLE

//(BETA+ALPHA)/ALPHA BOUNDARY
//21       CXXB-A2-T-1-A3-TO-1	0.990	0.99	0.01	0.0	1093	0.99	0.999	55ROG
22       CXXB-A2-T-1-A3-TO-1	0.980	0.98	0.01	0.0	1013	0.98	0.99	55ROG
21       CXXB-A2-T-1-A3-TO-1	0.970	0.97	0.01	0.0	973	0.97	0.99	55ROG
//22       CXXB-A2-T-1-A3-TO-1	0.950	0.95	0.01	0.0     923	0.95	1.00	55ROG


//MG bcc(Nb)/bcc(Nb)+bcc(Zr)
50	MGT1-A2-T-1	        1223	1223	5.01	1	1223	0.28    0.80	72FLE
51	MGT1-A2-T-1	        1173	1173	10.01	1	1173	0.24    0.80	72FLE
52	MGT1-A2-T-1	        1123	0.21	10.0	1	1123	0.21    0.815	72FLE
53	MGT1-A2-T-1	        1073	0.16	10.0	1	1073    0.16    0.815	72FLE
54	MGT1-A2-T-1	        1023	0.14	10.0	1	1023	0.14    0.815	72FLE
55	MGT1-A2-T-1	        973	973	2.01	0.5	973     0.11    0.815	72FLE
56	MGT1-A2-T-1	        923	923	10.01	0.5	923	0.08    0.815	72FLE 
57	MGT1-A2-T-1	        893	893	1.01	0.5	893	0.102    0.8523	72FLE-critical point
//58	MGX1-A2-T-1	        0.102	0.102	0.01	1.0	893	0.01    0.99	72FLE-critical point


//dummy points
17	CXTA-A2-T-1-L-RK-1	2400	2400	10	0	2400    0.15	0.783	55ROG
17	CXTA-A2-T-1-L-RK-1	2300	2300	10	0	2300    0.25	0.783	55ROG
17	CXTA-A2-T-1-L-RK-1	2223	2223	10	0	2223    0.35	0.783	55ROG
17	CXTA-A2-T-1-L-RK-1	2223	2223	10	0	2223    0.45	0.783	55ROG
17	CXTA-A2-T-1-L-RK-1	2223	2223	10	0	2223    0.55	0.783	55ROG
17	CXTA-A2-T-1-L-RK-1	2223	2223	10	0	2223    0.65	0.783	55ROG
1	CXTB-L-RK-1-A2-T-1	2083	2083	10	0	2083    0.783   0.99	55ROG

//SOLIDUS(ROG)
1	CXTB-L-RK-1-A2-T-1	2078	2078	10	1	2078    0.783   0.95	55ROG
2	CXTB-L-RK-1-A2-T-1	2043	2070	10	1	2070    0.783   0.94	55ROG
3	CXTB-L-RK-1-A2-T-1	2063	2063	10	1	2063    0.783   0.92	55ROG
4	CXTB-L-RK-1-A2-T-1	2048	2048	10	1	2048    0.783   0.91	55ROG
5	CXTB-L-RK-1-A2-T-1	2043	2043	10	1	2043    0.783   0.88	55ROG
6	CXTB-L-RK-1-A2-T-1	2038	2043	10	0	2038    0.783   0.87	55ROG
7	CXTB-L-RK-1-A2-T-1	2043	2043	10	0	2043    0.783   0.86	55ROG
8	CXTB-L-RK-1-A2-T-1	2038	2038	10	1	2038    0.783   0.85	55ROG
9	CXTB-L-RK-1-A2-T-1	2018	2018	10	1	2018    0.783   0.83	55ROG
10	CXTB-L-RK-1-A2-T-1	2018    2018	10	0	2018    0.783   0.8	55ROG
11	CXTA-A2-T-1-L-RK-1	2008	2008	10	1	2008    0.78	0.783	55ROG
12	CXTA-A2-T-1-L-RK-1	2018	2018	10	1	2018    0.75	0.783	55ROG
13	CXTA-A2-T-1-L-RK-1	2023    2023	10	1	2023    0.7	0.783	55ROG
14	CXTA-A2-T-1-L-RK-1	2063	2063	10	1	2063    0.6	0.783	55ROG
15	CXTA-A2-T-1-L-RK-1	2083	2083	10	1	2083    0.5	0.783	55ROG
16	CXTA-A2-T-1-L-RK-1	2123	2123	10	1	2123    0.4	0.783	55ROG
17	CXTA-A2-T-1-L-RK-1	2223	2223	10	1	2223    0.3	0.783	55ROG
18	CXTA-A2-T-1-L-RK-1	2338	2338	10	0	2338    0.2	0.783	55ROG
19	CXTA-A2-T-1-L-RK-1	2493	2493	10	0	2493    0.1	0.783	55ROG

//CONGRUENT PT
38	CRPT-A2-T-1-L-RK-1	2013	2013	1	1	2013    0.783	0.99	55ROG

//CRITICAL PT
39	COPT-A2-T-1	        1253	1253	1	1	1253    0.412	0.412	72FLE

//CRITICAL PT
//80      CX31T-A3-TO-1-A2-T-1    893     893     1       0       0.01     0.81    0.99      72GUI


//CRITICAL PT
80      CX32T-A3-TO-1-A2-T-1    893     983     1       1       0.01     0.81    0.98      72FlE


//Enthalpy of mixing data for BCC phase
25      Hm-A2-T-1              -71.59209816    0     250    0.0     800       0.05    0       BHU
25      Hm-A2-T-1              -143.1841963    0     250    0.0     800       0.10    0       BHU
25      Hm-A2-T-1              -214.7521732    0     250    0.0     800       0.15    0       BHU
25      Hm-A2-T-1              -286.3365525    0     250    0.0     800       0.20    0       BHU
25      Hm-A2-T-1              -357.9218967    0     250    0.0     800       0.25    0       BHU
25      Hm-A2-T-1              -429.5043463    0     250    0.0     800       0.30    0       BHU
26      Hm-A2-T-1              -472.454781     0     250    1.0     800       0.33    0       BHU

25      Hm-A2-T-1              -501.0887257    0     250    0.0     500       0.35    0       BHU
25      Hm-A2-T-1              -572.6721402    0     250    0.0     500       0.40    0       BHU
25      Hm-A2-T-1              -644.2565195    0     250    0.0     500       0.45    0       BHU      
27      Hm-A2-T-1              -715.8406094    0     250    0.0     500       0.50    0       BHU
