FileName:       ExpData-tizr.txt							
Author:         VJ
last updated:	190511								
Format:-----------------------------------------------------------									
DataId	DataType		y           yMod    sig(Y)  Wt.     x           x1          x2      References

 


#************************START#
//Enthalpy of mixing in liquid phase
65	CXXA-A3-TO-1-A2-T-1	0.400	0.400	0.01	1.0	898	0.300   0.50	1982AUF
66	CXXB-A2-T-1-A3-TO-1	0.605	0.600	0.01	1.0	898	0.500   0.90	1982AUF
67	CXXB-A2-T-1-A3-TO-1	0.710	0.700	0.01	1.0	923	0.500   0.90	1982AUF


//B.N.SARMA 2000 FOR BETA BOUNDARY
68	CXXB-A3-TO-1-A2-T-1	0.100	0.100	0.01	1.0	1093	0.01    0.1	1971CHA
69	CXXB-A3-TO-1-A2-T-1	0.210	0.210	0.01	1.0	1023	0.01    0.210 	1971CHA
70	CXXB-A3-TO-1-A2-T-1	0.305	0.305	0.01	1.0	948	0.01    0.305 	1971CHA
71	CXXA-A2-T-1-A3-TO-1	0.800	0.800	0.01	1.0	1023    0.5     0.80	1971CHA
72	CXXB-A3-TO-1-A2-T-1	0.030	0.030	0.01	0.0	1145	0.01	0.03	1962IMG
73	CXXB-A3-TO-1-A2-T-1	0.120	0.120	0.01	1.0	1083	0.01	0.12 	1962IMG
74	CXXB-A3-TO-1-A2-T-1	0.090	0.090	0.01	1.0	1113	0.01	0.09	1962IMG
75	CXXB-A3-TO-1-A2-T-1	0.260	0.260	0.01	1.0	988	0.01	0.26  	1962IMG
76	CXXB-A3-TO-1-A2-T-1	0.135	0.135	0.01	1.0	1073	0.01	0.135 	1951HAY
77	CXXB-A3-TO-1-A2-T-1	0.275	0.275	0.01	1.0	978	0.01	0.275	1951HAY
78	CXXA-A2-T-1-A3-TO-1	0.820	0.820	0.01	1.0	988	0.50    0.82	1951HAY
80	CXXA-A2-T-1-A3-TO-1	0.860	0.860	0.01	1.0	1003	0.70    0.86	1951HAY

//Congruent Minima Liquid+A2
43      CRPT-A3-TO-1-A2-T-1     875        875        1          3       1000        0.504        0.0     1994KCHARI

//Enthalpy of mixing in bcc phase
//33      Hm-A2-T-1        -1818        0       250    0.0     300       0.02    0      2018Marker
//34      Hm-A2-T-1        -2925        0       250    1.0     300       0.25    0      2018Marker
//35      Hm-A2-T-1        -5800        0       250    1.0     300       0.50    0      2018Marker
//36      Hm-A2-T-1        -4465        0       250    1.0     300       0.75    0      2018Marker
//37      Hm-A2-T-1        -2416        0       250    0.0     300       0.94    0      2018Marker
38      Hm-A2-T-1        -5511.30000    0       250    1.0     300       0.25    0      BHU
39      Hm-A2-T-1        -7274.90000    0       250    1.0     300       0.33    0      BHU
40      Hm-A2-T-1        -5429.00000    0       250    1.0     300       0.50    0      BHU
41      Hm-A2-T-1        -3583.20000    0       250    1.0     300       0.67    0      BHU
42      Hm-A2-T-1        -2714.50000    0       250    1.0     300       0.75    0      BHU

//Enthalpy of mixing data for HCP phase

//45      Hm-A3-TO-1             6210.0         0      250    1.0     300       0.25    0      2007Shin          
//47      Hm-A3-TO-1             7600.0         0      250    1.0     300       0.5     0      2007Shin                 
//49      Hm-A3-TO-1             5340.0         0      250    1.0     300       0.75    0      2007Shin
50      Hm-A3-TO-1             4602.35000000    0      250    1.0     300       0.25    0      BHU   
46      Hm-A3-TO-1             3719.700000      0      300    1.0     300       0.33    0      BHU         
51      Hm-A3-TO-1             3233.42          0      250    1.0     300       0.5     0      BHU 
48      Hm-A3-TO-1             3388.280000      0      300    1.0     300       0.67    0      BHU          
52      Hm-A3-TO-1             3995.170000      0      250    1.0     300       0.75    0      BHU  
#************************STOP#




 




       
  
 









    
